timestamp	step	learning_rate
1662136232939	0	0.001
1662136323547	1	0.001
1662136442055	2	0.001
1662136560807	3	0.001
1662136679602	4	0.001
1662136798496	5	0.001
1662136916677	6	0.001
1662137034845	7	0.001
1662137153351	8	0.001
1662137271548	9	0.001
1662137390385	10	0.001
1662137509102	11	0.001
1662137627385	12	0.001
1662137745624	13	0.001
1662137864068	14	0.0001
1662137982272	15	0.0001
1662138100894	16	0.0001
1662138219310	17	0.0001
